Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2000","2000","tonnes","966640","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2001","2001","tonnes","971494","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2002","2002","tonnes","889431","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2003","2003","tonnes","862959","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2004","2004","tonnes","910676","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2005","2005","tonnes","948546","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1993","1993","tonnes","371441","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1994","1994","tonnes","505145","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1995","1995","tonnes","829256","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1996","1996","tonnes","869070","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1997","1997","tonnes","808092","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1998","1998","tonnes","837966","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1999","1999","tonnes","985141","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1993","1993","tonnes","130147","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1994","1994","tonnes","165300","*","Unofficial figure"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1995","1995","tonnes","187294","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1996","1996","tonnes","160192","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1997","1997","tonnes","179698","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1998","1998","tonnes","134000","*","Unofficial figure"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1999","1999","tonnes","165000","*","Unofficial figure"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2000","2000","tonnes","238170","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2001","2001","tonnes","254102","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2002","2002","tonnes","238412","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2003","2003","tonnes","313723","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2004","2004","tonnes","294886","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2005","2005","tonnes","265457","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1993","1993","tonnes","1580502","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1994","1994","tonnes","1703718","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1995","1995","tonnes","1360278","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1996","1996","tonnes","1476523","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1997","1997","tonnes","1586029","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1998","1998","tonnes","1408820","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1999","1999","tonnes","1697518","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","2000","2000","tonnes","1564400","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","2001","2001","tonnes","1344231","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","2002","2002","tonnes","1460245","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","2003","2003","tonnes","1424819","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","2004","2004","tonnes","1471394","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","2005","2005","tonnes","1621746","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1993","1993","tonnes","1869920","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1994","1994","tonnes","1868894","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1995","1995","tonnes","2022134","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1996","1996","tonnes","2102830","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1997","1997","tonnes","2025549","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1998","1998","tonnes","2288497","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","1999","1999","tonnes","2229700","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2000","2000","tonnes","2079280","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2001","2001","tonnes","1959272","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2002","2002","tonnes","1873346","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2003","2003","tonnes","2042570","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2004","2004","tonnes","2016687","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2005","2005","tonnes","1775519","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1993","1993","tonnes","2563223","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1994","1994","tonnes","3007925","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1995","1995","tonnes","3665182","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1996","1996","tonnes","3866079","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1997","1997","tonnes","4462099","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1998","1998","tonnes","3855643","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1999","1999","tonnes","3966126","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2000","2000","tonnes","3993968","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2001","2001","tonnes","3990427","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2002","2002","tonnes","4199156","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2003","2003","tonnes","4664814","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2004","2004","tonnes","4521458","*","Unofficial figure"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2005","2005","tonnes","4764193","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1993","1993","tonnes","390144","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1994","1994","tonnes","567882","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1995","1995","tonnes","635503","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1996","1996","tonnes","611183","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1997","1997","tonnes","659392","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1998","1998","tonnes","794240","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","1999","1999","tonnes","623583","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","2000","2000","tonnes","801515","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","2001","2001","tonnes","873829","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","2002","2002","tonnes","980557","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","2003","2003","tonnes","936114","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","2004","2004","tonnes","1058161","","Official data"
"TP","Crops and livestock products","89","Guatemala","5910","Export Quantity","486","Bananas","2005","2005","tonnes","1129477","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1993","1993","tonnes","647300","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1994","1994","tonnes","445612","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1995","1995","tonnes","521637","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1996","1996","tonnes","573710","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1997","1997","tonnes","488671","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1998","1998","tonnes","467281","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","1999","1999","tonnes","112678","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","2000","2000","tonnes","374964","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","2001","2001","tonnes","428605","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","2002","2002","tonnes","441407","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","2003","2003","tonnes","453164","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","2004","2004","tonnes","571686","","Official data"
"TP","Crops and livestock products","95","Honduras","5910","Export Quantity","486","Bananas","2005","2005","tonnes","545527","","Official data"
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","486","Bananas","2000","2000","tonnes","563","","Official data"
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","486","Bananas","2001","2001","tonnes","215","","Official data"
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","486","Bananas","2002","2002","tonnes","108","","Official data"
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","486","Bananas","2003","2003","tonnes","91","","Official data"
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","486","Bananas","2004","2004","tonnes","115","","Official data"
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","486","Bananas","2005","2005","tonnes","140","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1993","1993","tonnes","688108","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1994","1994","tonnes","712248","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1995","1995","tonnes","690017","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1996","1996","tonnes","631953","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1997","1997","tonnes","608208","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1998","1998","tonnes","462415","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","1999","1999","tonnes","593364","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","2000","2000","tonnes","489284","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","2001","2001","tonnes","426081","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","2002","2002","tonnes","403923","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","2003","2003","tonnes","385320","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","2004","2004","tonnes","397940","","Official data"
"TP","Crops and livestock products","166","Panama","5910","Export Quantity","486","Bananas","2005","2005","tonnes","352480","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1993","1993","tonnes","1153471","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1994","1994","tonnes","1155182","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1995","1995","tonnes","1213411","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1996","1996","tonnes","1252196","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1997","1997","tonnes","1143336","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1998","1998","tonnes","1149552","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","1999","1999","tonnes","1319632","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","2000","2000","tonnes","1599920","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","2001","2001","tonnes","2129309","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","2002","2002","tonnes","1684986","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","2003","2003","tonnes","1829384","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","2004","2004","tonnes","1797343","","Official data"
"TP","Crops and livestock products","171","Philippines","5910","Export Quantity","486","Bananas","2005","2005","tonnes","2024322","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1993","1993","tonnes","4521","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1994","1994","tonnes","10262","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1995","1995","tonnes","15387","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1996","1996","tonnes","12753","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1997","1997","tonnes","60000","F","FAO estimate"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1998","1998","tonnes","40000","F","FAO estimate"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","1999","1999","tonnes","35000","F","FAO estimate"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","2000","2000","tonnes","30000","F","FAO estimate"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","2001","2001","tonnes","47000","*","Unofficial figure"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","2002","2002","tonnes","7700","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","2003","2003","tonnes","3337","","Official data"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","2004","2004","tonnes","110000","F","FAO estimate"
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","486","Bananas","2005","2005","tonnes","110000","F","FAO estimate"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1993","1993","tonnes","380556","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1994","1994","tonnes","383216","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1995","1995","tonnes","397546","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1996","1996","tonnes","408741","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1997","1997","tonnes","418823","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1998","1998","tonnes","416520","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","1999","1999","tonnes","418813","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","2000","2000","tonnes","400188","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","2001","2001","tonnes","406968","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","2002","2002","tonnes","416600","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","2003","2003","tonnes","427543","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","2004","2004","tonnes","445757","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","486","Bananas","2005","2005","tonnes","449647","","Official data"
